rank,team,country,score
5265,momo,Canada,14871
5266,Vishal Ghuge,India,14758
5267,Elevenseven,China,14700
5268,heisen,Japan,14679
5269,superscore,United States,14676
5270,Cornwalum,United Kingdom,14619
5271,WeDontKnowHowToCode,United States,14343
5272,The semicolon squad,India,14291
5273,Gns,France,14282
5274,NonProsperous,India,14278
5275,Stochastic_Signals,India,14275
5276,PVG,United Kingdom,14233
5277,Nexus_ontoto,India,14195
5278,ucluclucluclucluclucl,United Kingdom,14182
5279,Harrylahd,New Zealand,14119
5280,Beer Lovers,United Kingdom,14070
5281,ATOMIC CHARGER,India,14048
5282,No buddy,India,14037
5283,Apo,United States,14027
5284,Man I Love Fernandes,Vietnam,13989
5285,Einfach nh Gruppe haben,Germany,13934
5286,asymmetric payoff,United States,13924
5287,InfinityX,India,13879
5288,Trading Charlie,India,13875
5289,Null Pointerz,India,13864
5290,Vigil,United Kingdom,13854
5291,Chi_Squared,United States,13836
5292,Lezgo,India,13822
5293,The Null Hypothesis,United Kingdom,13794
5294,LaCarpeDiem,Vietnam,13776
5295,ZAP,India,13750
5296,Majors,India,13732
5297,les Ratz,France,13705
5298,BullishMinds,India,13692
5299,Matrix-code,India,13651
5300,SoloTrader,India,13613
5301,Anish Reddy Alle,United States,13593
5302,N4m3l3ss,India,13522
5303,SUDO apt,India,13507
5304,BeatUp,India,13423
5305,tung tung tung sahuur,Western Sahara,13412
5306,Hyde,United Kingdom,13406
5307,Prose-perity,India,13294
5308,Trend Hunters,India,13149
5309,include_alpha,India,12987
5310,atreidis,India,12927
5311,KASUKABE_DEFENCE_FORCE,India,12841
5312,Natsu,United Kingdom,12750
5313,Codeeaszz,India,12738
5314,SENTINEL__Z,India,12551
5315,ByteForge,India,12541
5316,CONTINENTAL ALLIANCE,India,12514
5317,AuStreetBets,Australia,12495
5318,Team Ducks,United States,12477
5319,makvia,India,12461
5320,HJB Horizon,United Kingdom,12459
5321,ROI,India,12435
5322,Lehman Cousins,Switzerland,12363
5323,Team Igniculus,India,12346
5324,Borrego Cosmos,Spain,12322
5325,fortnite gamers,Thailand,12251
5326,17 BLACK,India,12214
5327,The Long Shorts,Australia,12061
5328,Adbhut,India,12032
5329,TBBYG,India,12019
5330,Perplexify,India,12017
5331,Apostles,India,11962
5332,prospering,United Kingdom,11935
5333,Galaxy_Orbit_1,Australia,11896
5334,RAK,India,11771
5335,Shadow-Garden,India,11648
5336,Zen of Prosperity,India,11565
5337,Testing,United Kingdom,11452
5338,Nuonuo,United States,11441
5339,Deep Space Derivatives,United Kingdom,11367
5340,Thomas Mills,United Kingdom,11160
5341,Chill guy,India,11131
5342,Syntax Code,India,11038
5343,Malaysia Boleh,Australia,10889
5344,Curious_traders,United States,10877
5345,SigmaMu,United Arab Emirates,10873
5346,GodHand,India,10829
5347,chridecoooooolest,Finland,10750
5348,Galactic Exchange,United Kingdom,10716
5349,HiveTrading,Turkey,10704
5350,Quicksort_3,India,10544
5351,Apollo One,Netherlands,10532
5352,Mellon Mispricers,United States,10381
5353,Point72-5,Singapore,10339
5354,Harbor,Poland,10279
5355,rakeshvdp,United Kingdom,10240
5356,Golden Ratio,United Kingdom,10174
5357,SHADOWSAMA,India,10132
5358,Techie Turtles,India,10119
5359,Prush,India,10107
5360,Dekkov,United States,10085
5361,Boiler Arbitrage,United States,10082
5362,Trading ducks,Sweden,10021
5363,finochio,India,10000
5364,Team Ytirepsorp,India,9999
5365,Cynox,India,9998
5366,Soloquant,United States,9919
5367,The Sharpe Shooters,United States,9900
5368,Starfish Strategist,India,9898
5369,TomMiller,United Kingdom,9820
5370,Vision Coders,India,9805
5371,Twin Traders,India,9800
5372,UnNown,India,9746
5373,Cosmic Cartels,India,9641
5374,MacDonald,United States,9445
5375,Cyno2048,India,9289
5376,laakso,China,9268
5377,Vol Tourists,France,9048
5378,AloneStudios,India,8916
5379,alX,India,8902
5380,AxxL_Clickity-Clackity,Canada,8869
5381,Alg0_Gat0r,Australia,8840
5382,Code Alchemists,India,8814
5383,SpaceBrewery,Germany,8813
5384,one guy,United Kingdom,8798
5385,Market Maverick,India,8709
5386,Null_Void,India,8603
5387,ChinBo,United States,8458
5388,nooobtraders,India,8453
5389,VECTORX,India,8399
5390,Signal Foundry,Canada,8344
5391,ByteSize,India,8327
5392,thelimitdoesnotexist,United Kingdom,8212
5393,Scion Asymmetric,Spain,8134
5394,Driftlabs,Australia,8074
5395,TTTT,China,8031
5396,Phoenix986,United States,8000
5397,ElevateX,India,7909
5398,Deterministic_Decoders,India,7904
5399,TopGun,India,7876
5400,Im in the Army,South Korea,7783
5401,bloodreaper,India,7753
5402,White Wolf,Turkey,7713
5403,lop,India,7700
5404,QuantKidz,India,7695
5405,OFA,India,7566
5406,Radhyam,India,7551
5407,Revel,India,7544
5408,Dr-Mathattan,United States,7479
5409,Kardamowians,Ireland,7364
5410,guessuseless,China,7357
5411,RAV3N,India,7332
5412,Seed Eclipse,India,7299
5413,AWMG Fund,Australia,7268
5414,Team Maqsad,India,7253
5415,B22,India,7125
5416,-_-,India,7113
5417,CrimsonTrader,Italy,7044
5418,Team Tesla,India,6999
5419,Team KS,India,6941
5420,COD,United States,6870
5421,Adverse Selector,Australia,6823
5422,The Small Long,India,6817
5423,QUANTITAVE,India,6725
5424,Pandava,India,6682
5425,India A,India,6619
5426,dmo,United States,6601
5427,Egnis enterprises,United States,6586
5428,StarterTrader,Italy,6314
5429,Occams sidequest,India,6310
5430,whitebeard_pirates,India,6278
5431,Team-Martian,Netherlands,6268
5432,August_Reign_26,South Africa,6252
5433,CL,United Kingdom,6217
5434,Headache,France,6151
5435,QD Frauds,United States,6025
5436,Zhen Risk,South Africa,6024
5437,_qium,India,6024
5438,StopLossSurvivors,India,6015
5439,bhel,India,6000
5440,quarterzip,Australia,5837
5441,Edifice,India,5830
5442,UW Hustlers,Canada,5829
5443,ds8,United States,5784
5444,Delta Dominators,India,5784
5445,TW_NO1,Taiwan,5747
5446,The Big Shorts,India,5423
5447,Interplanetary Criminal,United States,5400
5448,Apollo Corp,United States,5327
5449,Dhruv Simmonite,United Kingdom,5283
5450,wolverines,United States,5227
5451,Alpha Miners,India,5160
5452,Zach,Italy,5093
5453,Team Name Lite,India,5000
5454,Dabang,Netherlands,4966
5455,Universal Equilibrium,India,4900
5456,vadapav,India,4848
5457,CodeTesterz,India,4838
5458,schrodingers_algorithm,Australia,4827
5459,Flawless,India,4726
5460,Shani Ka Saaya,India,4618
5461,404 - Team Not Found,India,4542
5462,Zenith07,India,4524
5463,Zero Shot,India,4523
5464,FAWDA,India,4511
5465,Shary,China,4460
5466,TeamDZX,India,4424
5467,InnoWave,India,4422
5468,croque scooby,France,4407
5469,DeltaAplha,India,4369
5470,Hobbits,United Kingdom,4316
5471,MONARCH,India,4269
5472,user07,Germany,4171
5473,Mr X,India,4114
5474,BIAD,Bulgaria,4106
5475,Prometheus Protocol,India,4073
5476,UConn Thunderaas,United States,4065
5477,henry,United States,4033
5478,Team CRT,United States,4012
5479,StochasticSolo,Australia,3777
5480,MarginCall,India,3673
5481,Two pointers,France,3667
5482,TottenhamTroopers,United Kingdom,3660
5483,ttt,Barbados,3642
5484,DSAkmkb,India,3579
5485,dead poets,India,3396
5486,CMIs,India,3300
5487,AstroLAWger,Hong Kong,3257
5488,Cosmic Sirius,India,3063
5489,test-team-123,United Kingdom,2985
5490,ICantCode,France,2974
5491,Eigenstate Manifold,United States,2943
5492,S-at-nyc,United States,2922
5493,SOLO_BUT_STRONG,India,2872
5494,YOTY,United Kingdom,2869
5495,Char522,United States,2868
5496,lasermines,Australia,2766
5497,Built-in-bytes,India,2760
5498,Dreamcatcher,Australia,2628
5499,Code grid,India,2599
5500,Profit Prophet,United Kingdom,2499
5501,Factor Panda,United Kingdom,2490
5502,InnoWave1,India,2376
5503,Cialdini,India,2373
5504,Bulkers,Australia,2259
5505,RainbowUnicorn,India,2173
5506,MAX DAX 0331,United States,2110
5507,Tiago Dias,Portugal,2086
5508,Crassus,United Kingdom,2075
5509,Boys,India,2060
5510,aceofclubs,India,2000
5511,Chexperts,India,1940
5512,Inception Squad,India,1874
5513,Error404,India,1681
5514,Maxwells Demon,United States,1651
5515,Trading_engine,India,1628
5516,Alpha Greeks,India,1600
5517,Spartan Algos,South Africa,1116
5518,Cherry for the win,India,889
5519,Bit Rebels,India,835
5520,Quant Enthusiasts,India,771
5521,Gupta Empire,United States,766
5522,Checkers,India,690
5523,Recurrent residuals,Netherlands,649
5524,STAREEASEEE,India,636
5525,7sigma,India,567
5526,Aristotle,United Kingdom,531
5527,DoarEu,Romania,490
5528,TEAM RAVENS,India,489
5529,GammaRays,United Kingdom,470
5530,Flux Force,India,294
5531,Mthegreat28,United States,236
5532,67676767,United States,202
5533,The trade craft,India,200
5534,Particle Accelerators,United Kingdom,88
5535,arKade,India,68
5536,trade_or_raid,India,56
5537,Gohard,India,14
5538,G7,Croatia,4
5539,J_Trades,United Kingdom,0
5539,Wolf Pack,India,0
5539,Avery Sigma,United States,0
5539,TradeVolt,India,0
5539,Avery,United States,0
5539,Alpha Traders_0,India,0
5539,Qubit Crafters,India,0
5539,NextStep Navigator,India,0
5539,aa22,United States,0
5539,Nyhtmaer,India,0
5539,King Of Spades,India,0
5539,Yolo gambling,France,0
5539,Hermes,India,0
5539,Maniii,India,0
5539,duckduck,United States,0
5539,Duckduckslow,India,0
5539,Candle Chasers,India,0
5539,Uzui,India,0
5539,Temporaryar121,Australia,0
5539,Three Omega Security,China,0
5539,hgv,United States,0
5539,AdelAI,Australia,0
5539,Liquidity Grabbers,United States,0
5539,God_venom,India,0
5539,Hail Mary Traders,India,0
5539,Cannotthinkofsmthcoolrn,India,0
5539,Peaky Blinder,India,0
5539,GotLuckyyyy,Romania,0
5539,small_brain,India,0
5539,Kl,India,0
5539,pnl_minimizing,Italy,0
5539,Tyaka,Spain,0
5539,THE RONIN,India,0
5539,QUOD,Netherlands,0
5539,Iiii,Albania,0
5539,PnL_Alien,France,0
5539,Galactic Conquerors,India,0
5539,infpot,India,0
5539,Atom,India,0
5539,The Wolf of Wall Street,India,0
5539,GambingBeaver,India,0
5539,blabhblahblah,India,0
5539,Team vi,India,0
5539,zinore_traders,India,0
5539,Wang Zhenghua,Singapore,0
5539,JustTrade,India,0
5539,PendingMarginCall,Netherlands,0
5539,Hormuz_Warrior,India,0
5539,hioihoi,Australia,0
5539,Kashi Stock Exchange,India,0
5539,Iblame,India,0
5539,Rohan Only,India,0
5539,Krenoviantz,India,0
5539,interims13,Germany,0
5539,NEXUS QUANT,India,0
5539,Tradersgulid,India,0
5539,A1m4UrHeart,Australia,0
5539,Fireflies,China,0
5539,CillA,Philippines,0
5539,Luuk,Netherlands,0
5539,Law of big and chunky,Russian Federation,0
5539,prosper_ity,Singapore,0
5539,Freddie Nolan,Ireland,0
5539,mind board,India,0
5539,SS FreakBob,Canada,0
5539,Pirates hub,India,0
5539,BigBlindNet,United States,0
5539,Foelix,Australia,0
5539,TON-618,Australia,0
5539,SwinterWonderland,India,0
5539,Vastav,India,0
5539,AnAbsoluteCinema,India,0
5539,NewTrader,Singapore,0
5539,Shouri Ke Facche,India,0
5539,Schinken,Switzerland,0
5539,OTx,India,0
5539,Gg16,India,0
5539,Szani,Hungary,0
5539,AppleSeeds,India,0
5539,JPTRADE,Portugal,0
5539,Mamamama,India,0
5539,effectivelywrong,Egypt,0
5539,sdu,Kazakhstan,0
5539,7 entire dogs,United Kingdom,0
5539,Sensei,India,0
5539,MadWar,India,0
5539,zyzz,India,0
5539,Viltrum,Australia,0
5539,Spammmm,India,0
5539,Qu4nt,India,0
5539,aldehyde,India,0
5539,Revitcua,India,0
5539,daje-veneto,Italy,0
5539,Jigyasa,India,0
5539,toshani,India,0
5539,pudududud,United States,0
5539,HareKrishna,India,0
5539,Coders55,India,0
5539,TradersByBirth,India,0
5539,wer,Switzerland,0
5539,abs,India,0
5539,EvoLockIn,Hong Kong,0
5539,ensiie,France,0
5539,Notcher,India,0
5539,hello it is me,India,0
5539,BuyLowSellHigh1,United Kingdom,0
5539,BuyLowSellHigh2,United Kingdom,0
5539,Buiucani,Moldova,0
5539,tempteam07,Switzerland,0
5539,MonkeyJunky,Italy,0
5539,x7B2m9K4pL,Australia,0
5539,ITeaSolutions,Switzerland,0
5539,Sujal Agrawal,India,0
5539,Dominant_daddy,India,0
5539,stairway_to_heaven,France,0
5539,1Name,India,0
5539,Etage peche,France,0
5539,Bath MEng,United Kingdom,0
5539,E Research,South Africa,0
5539,alien trade,France,0
5539,testdfafsa,United States,0
5539,vcra,United States,0
5539,Nihaoshuai,United States,0
5539,Decoders,India,0
5539,Axiom Inc,United Kingdom,0
5539,meowowowow,United States,0
5539,badquant,India,0
5539,PoloTeam,Iceland,0
5539,hmm123,India,0
5539,Duke28,United States,0
5539,temporary2002,Sweden,0
5539,Hestaphus,Denmark,0
5539,Kien,Canada,0
5539,Ksos,Mongolia,0
5539,Fluid_team,Italy,0
5539,PK,United States,0
5539,Perperkassy,United States,0
5539,ds infinity,India,0
5539,NM,United States,0
5539,NM1,United States,0
5539,Actual winner,United States,0
5539,Alpha Dominos,India,0
5539,btsxarmy07,India,0
5539,openisland,Australia,0
5539,chupa chups,India,0
5539,LetUsWin,India,0
5539,Wu,United States,0
5539,Just_chill,India,0
5539,Ak Btrade,India,0
5539,catteeeeam,Mexico,0
5539,UW,Canada,0
5539,3igma,United States,0
5539,bkbjwfbkbfcjkw,United States,0
5539,BlastersBonkers,India,0
5539,Missisippi Burning,India,0
5539,Attempt_,India,0
5539,Orango,India,0
5539,cointegral,United Kingdom,0
5539,GSUTigers,United States,0
5539,Venara 7,United States,0
5539,WHY NOTSS,India,0
5539,watermelon,Canada,0
5540,VibrantX,India,-54
5541,Curious Dollar,India,-68
5542,TeamGalaxy,Germany,-74
5543,NA_XX,China,-113
5544,Gamma Edge,Switzerland,-134
5545,Uynew,Singapore,-141
5546,Algo traders,India,-182
5547,Alpha Solo,United Kingdom,-187
5548,kerbal space gooner,United States,-531
5549,BDF_trader,Poland,-617
5550,Upcomers,United States,-698
5551,stop loss survivors,Tunisia,-713
5552,Local Volatility,United Kingdom,-801
5553,Quantahit commodity,United States,-834
5554,SS Trading LTD,Australia,-866
5555,Team Trainex,India,-871
5556,Potential_Possibility,India,-1249
5557,Edge Case,India,-1654
5558,Au_dela_des_etoiles,France,-2000
5559,Xyron,India,-2165
5560,Team Tom,Canada,-2382
5561,helloworld,Australia,-2500
5562,Electrifying_NIKOLA,India,-2864
5563,Logos Legion,United States,-2901
5564,ArthurGrey,India,-3125
5565,Panic Seller,India,-3157
5566,Victus,India,-3320
5567,trder,India,-3470
5568,TheInvincible,Australia,-3532
5569,Ka-Ching1,United States,-3929
5570,Toofan,India,-4458
5571,Haumea,United Kingdom,-4520
5572,The Tradesexuals,Australia,-4582
5573,Team Chuds,United States,-4925
5574,Ganges River Trading,India,-4956
5575,DalalStreet,India,-4989
5576,SkibidiTungTung,United States,-5381
5577,Team101,India,-5657
5578,Team Matrix,India,-5687
5579,Arambh,India,-5908
5580,TradeForTraits,Germany,-5973
5581,gamblers not ruined,India,-6025
5582,shinigami,Bangladesh,-6044
5583,NaIkGaGsAh,India,-6047
5584,ADJ,India,-6295
5585,Jaineel,United Kingdom,-6578
5586,Growth,India,-6789
5587,MRSG_V2,United Kingdom,-7000
5587,c22guo,Canada,-7000
5587,Geoffs Garden,Poland,-7000
5587,Sudarshan Alpha,India,-7000
5587,Indexstellar,Netherlands,-7000
5587,Freshman in Trading,Hong Kong,-7000
5587,Mohit,India,-7000
5588,BrazilianMetrics,Brazil,-7136
5589,Sharpe Shooter,India,-7217
5590,HeckAlpha,United Kingdom,-7351
5591,FckItWeTrade,United States,-7500
5592,Hoodcoders,India,-7624
5593,Giddy and Friends,United States,-7720
5594,Mu Mu,United States,-7751
5595,Without Warning,India,-7835
5596,Innovatrixx,India,-8095
5597,Blue lizard,Greece,-8226
5598,QuantXTrade,India,-8378
5599,teamAlbert,United States,-8529
5600,Hackstreet,India,-8700
5601,Renaissance,India,-8816
5602,Compound_Alpha,India,-8904
5603,Cheta,United Kingdom,-8968
5604,Purveyor,United States,-9260
5605,xiongxiong,Albania,-9617
5606,La Rigel-ita,United States,-9692
5607,primeCapital,United States,-9930
5608,Govlords,United Kingdom,-10049
5609,disha,India,-10084
5610,Irritating hacker,India,-10122
5611,CraterQ,Canada,-10279
5612,O-infinity,Canada,-10361
5613,CookingNumericalMeth,Germany,-10455
5614,Cowboys,United States,-10754
5615,Crypton,India,-10799
5616,Segmented Faults,India,-10895
5617,Syndicate,India,-10956
5618,Ria,Australia,-11000
5619,Obsidian Minds,Iceland,-11520
5620,Sanidhay,United States,-11672
5621,TeamSpace,India,-11766
5622,Pratap Singh,India,-11815
5623,ALONE WALKER,India,-11989
5624,sanjay,United States,-12037
5625,Single Thread,India,-12444
5626,GRACE ROCKY SAVE STARS,Singapore,-12575
5627,Retail ICT,Netherlands,-12892
5628,Quant Claw Capital,India,-12988
5629,Cosmic A,India,-13044
5630,ONEACE,India,-13227
5631,NoGambleNoFuture,China,-13263
5632,Marxist,India,-13264
5633,might do,India,-13551
5634,corezz,India,-13720
5635,THE BIG BULL,India,-13745
5636,i hat quant,India,-13813
5637,NEUROFLUX,India,-14154
5638,Skylark,United Kingdom,-14240
5639,Space Eagles,United States,-14722
5640,Quantum Traders,India,-14740
5641,cross_parity,India,-14840
5642,Syntax squad,India,-15618
5643,SHAKUNI,India,-16293
5644,NovaYon,India,-16409
5645,Anurag Pal,India,-16573
5646,Jahnavi Teki,India,-16796
5647,ooks,Canada,-17114
5648,AdverseTraders,India,-17496
5649,Hue Hustlers,India,-17630
5650,3Stars__,India,-17697
5651,SBTMS,India,-17735
